,occ1,occ2,count
0,15-1111,15-1122,1
1,15-1111,15-1199,1
2,15-1122,15-1199,2
3,15-1122,41-1011,1
4,15-1122,41-3031,1
5,15-1122,43-3051,1
6,15-1122,43-4051,1
7,15-1122,43-9011,1
8,15-1122,49-9051,1
9,15-1134,15-1199,2
10,15-1134,25-4021,1
11,15-1134,27-2012,3
12,15-1134,27-3041,1
13,15-1134,41-1011,1
14,15-1134,43-3061,1
15,15-1134,43-4051,1
16,15-1134,43-5081,2
17,15-1134,43-9021,1
18,15-1134,49-2011,1
19,15-1134,51-1011,1
20,15-1134,51-9061,2
21,15-1199,21-1093,1
22,15-1199,25-4021,2
23,15-1199,27-3041,1
24,15-1199,27-3042,1
25,15-1199,33-3021,1
26,15-1199,33-3051,1
27,15-1199,35-3031,1
28,15-1199,35-9011,1
29,15-1199,39-5012,1
30,15-1199,39-9021,2
31,15-1199,41-1011,2
32,15-1199,41-1012,1
33,15-1199,41-2031,2
34,15-1199,41-3011,1
35,15-1199,41-3021,1
36,15-1199,41-9031,1
37,15-1199,43-3031,2
38,15-1199,43-3051,1
39,15-1199,43-4041,1
40,15-1199,43-4051,6
41,15-1199,43-4141,1
42,15-1199,43-4171,2
43,15-1199,43-5061,2
44,15-1199,43-5081,1
45,15-1199,43-9011,4
46,15-1199,43-9021,2
47,15-1199,43-9041,1
48,15-1199,43-9111,2
49,15-1199,47-2061,2
50,15-1199,47-2111,1
51,15-1199,49-2011,22
52,15-1199,49-2096,1
53,15-1199,49-2098,1
54,15-1199,49-3031,1
55,15-1199,49-9052,1
56,15-1199,49-9071,1
57,15-1199,51-9051,1
58,15-1199,51-9061,1
59,15-1199,53-7081,1
60,17-2031,49-9071,1
61,19-4011,19-4021,2
62,19-4011,29-2061,1
63,19-4011,43-5061,1
64,19-4011,45-2041,2
65,19-4011,47-2061,1
66,19-4011,49-9071,1
67,19-4011,51-9199,1
68,19-4011,53-7061,1
69,19-4021,41-1011,1
70,19-4021,45-2041,1
71,19-4031,19-4041,1
72,19-4031,39-9011,3
73,19-4031,41-2031,1
74,19-4031,41-9091,1
75,19-4031,43-4051,1
76,19-4031,51-1011,1
77,19-4031,51-6011,1
78,19-4031,51-8031,4
79,19-4031,51-9061,1
80,19-4031,51-9199,2
81,19-4031,53-7062,1
82,19-4041,21-1093,1
83,19-4041,43-5081,1
84,19-4041,47-1011,1
85,19-4041,47-5021,1
86,19-4041,49-2098,1
87,19-4041,51-1011,1
88,19-4041,51-9061,1
89,21-1092,27-3043,1
90,21-1092,29-1141,1
91,21-1092,33-1011,3
92,21-1092,33-3021,1
93,21-1092,33-3051,3
94,21-1092,33-9021,1
95,21-1092,43-4031,1
96,21-1092,49-9043,1
97,21-1092,51-1011,1
98,21-1092,51-9061,1
99,21-1093,27-3031,1
100,21-1093,29-1141,2
101,21-1093,29-2061,1
102,21-1093,33-1011,1
103,21-1093,33-3051,1
104,21-1093,35-3021,1
105,21-1093,35-3041,1
106,21-1093,35-9021,1
107,21-1093,37-2012,1
108,21-1093,39-9011,2
109,21-1093,39-9021,3
110,21-1093,43-3051,1
111,21-1093,43-4051,5
112,21-1093,43-4111,1
